Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,17-10-2024 16:47:03,17-10-2024 16:48:10,1m - 6.420s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,17-10-2024 16:47:04,17-10-2024 16:48:10,1m - 5.977s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,17-10-2024 16:47:04,17-10-2024 16:47:19,14.263s,PASSED
delay(1),Chrome 129.0.0.0,,,17-10-2024 16:47:19,17-10-2024 16:47:20,1.088s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,17-10-2024 16:47:20,17-10-2024 16:47:20,0.372s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,17-10-2024 16:47:20,17-10-2024 16:47:22,2.047s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,17-10-2024 16:47:22,17-10-2024 16:47:31,9.026s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,17-10-2024 16:47:31,17-10-2024 16:48:03,32.186s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,17-10-2024 16:48:03,17-10-2024 16:48:09,6.008s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,17-10-2024 16:48:09,17-10-2024 16:48:10,0.281s,PASSED
