Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,16-10-2024 16:21:10,16-10-2024 16:22:27,1m - 16.454s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,16-10-2024 16:21:10,16-10-2024 16:22:27,1m - 16.111s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,16-10-2024 16:21:11,16-10-2024 16:21:29,18.371s,PASSED
delay(1),Chrome 129.0.0.0,,,16-10-2024 16:21:29,16-10-2024 16:21:30,1.103s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,16-10-2024 16:21:30,16-10-2024 16:21:31,0.412s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,16-10-2024 16:21:31,16-10-2024 16:21:33,2.504s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,16-10-2024 16:21:33,16-10-2024 16:21:46,12.782s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,16-10-2024 16:21:46,16-10-2024 16:22:19,32.861s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,16-10-2024 16:22:19,16-10-2024 16:22:26,7.121s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,16-10-2024 16:22:26,16-10-2024 16:22:27,0.449s,PASSED
