Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Safari 17,,,14-10-2024 15:38:20,14-10-2024 15:38:28,8.793s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Safari 17,,,14-10-2024 15:38:20,14-10-2024 15:38:28,8.484s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Safari 17,,,14-10-2024 15:38:20,14-10-2024 15:38:28,7.579s,PASSED
closeBrowser(),Safari 17,,,14-10-2024 15:38:28,14-10-2024 15:38:28,0.431s,PASSED
