Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,15-10-2024 00:26:45,15-10-2024 00:27:50,1m - 4.295s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,15-10-2024 00:26:46,15-10-2024 00:27:50,1m - 3.886s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,15-10-2024 00:26:46,15-10-2024 00:27:03,16.063s,PASSED
delay(1),Chrome 129.0.0.0,,,15-10-2024 00:27:03,15-10-2024 00:27:04,1.087s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,15-10-2024 00:27:04,15-10-2024 00:27:04,0.398s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,15-10-2024 00:27:04,15-10-2024 00:27:06,1.872s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,15-10-2024 00:27:06,15-10-2024 00:27:13,7.388s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,15-10-2024 00:27:13,15-10-2024 00:27:44,30.997s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,15-10-2024 00:27:44,15-10-2024 00:27:50,5.206s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,15-10-2024 00:27:50,15-10-2024 00:27:50,0.270s,PASSED
