Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,15-10-2024 15:58:44,15-10-2024 15:59:53,1m - 9.181s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,15-10-2024 15:58:44,15-10-2024 15:59:53,1m - 8.947s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,15-10-2024 15:58:45,15-10-2024 15:59:02,16.520s,PASSED
delay(1),Chrome 129.0.0.0,,,15-10-2024 15:59:02,15-10-2024 15:59:03,1.065s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,15-10-2024 15:59:03,15-10-2024 15:59:03,0.387s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,15-10-2024 15:59:03,15-10-2024 15:59:06,3.019s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,15-10-2024 15:59:06,15-10-2024 15:59:16,9.519s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,15-10-2024 15:59:16,15-10-2024 15:59:47,31.248s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,15-10-2024 15:59:47,15-10-2024 15:59:53,6.173s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,15-10-2024 15:59:53,15-10-2024 15:59:53,0.471s,PASSED
