Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,16-10-2024 16:28:53,16-10-2024 16:30:44,1m - 50.744s,FAILED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,16-10-2024 16:28:54,16-10-2024 16:30:44,1m - 50.462s,FAILED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,16-10-2024 16:28:54,16-10-2024 16:29:13,19.417s,PASSED
delay(1),Chrome 129.0.0.0,,,16-10-2024 16:29:13,16-10-2024 16:29:14,1.076s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,16-10-2024 16:29:14,16-10-2024 16:29:15,0.407s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,16-10-2024 16:29:15,16-10-2024 16:29:18,2.844s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,16-10-2024 16:29:18,16-10-2024 16:29:27,9.467s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,16-10-2024 16:29:27,16-10-2024 16:30:01,33.402s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,16-10-2024 16:30:01,16-10-2024 16:30:44,43.402s,FAILED
