Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,15-10-2024 15:17:00,15-10-2024 15:18:12,1m - 12.365s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,15-10-2024 15:17:00,15-10-2024 15:18:12,1m - 12.085s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,15-10-2024 15:17:01,15-10-2024 15:17:18,17.821s,PASSED
delay(1),Chrome 129.0.0.0,,,15-10-2024 15:17:18,15-10-2024 15:17:19,1.075s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,15-10-2024 15:17:19,15-10-2024 15:17:20,0.395s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,15-10-2024 15:17:20,15-10-2024 15:17:23,2.944s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,15-10-2024 15:17:23,15-10-2024 15:17:33,10.246s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,15-10-2024 15:17:33,15-10-2024 15:18:05,31.742s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,15-10-2024 15:18:05,15-10-2024 15:18:12,7.100s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,15-10-2024 15:18:12,15-10-2024 15:18:12,0.202s,PASSED
