Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,16-10-2024 16:40:27,16-10-2024 16:41:54,1m - 27.270s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,16-10-2024 16:40:27,16-10-2024 16:41:54,1m - 26.987s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,16-10-2024 16:40:28,16-10-2024 16:41:02,33.768s,PASSED
delay(1),Chrome 129.0.0.0,,,16-10-2024 16:41:02,16-10-2024 16:41:03,1.074s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,16-10-2024 16:41:03,16-10-2024 16:41:03,0.389s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,16-10-2024 16:41:03,16-10-2024 16:41:07,3.524s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,16-10-2024 16:41:07,16-10-2024 16:41:16,9.667s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,16-10-2024 16:41:16,16-10-2024 16:41:47,30.949s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,16-10-2024 16:41:47,16-10-2024 16:41:54,6.720s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,16-10-2024 16:41:54,16-10-2024 16:41:54,0.364s,PASSED
