Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,17-10-2024 16:45:04,17-10-2024 16:46:15,1m - 11.052s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,17-10-2024 16:45:04,17-10-2024 16:46:15,1m - 10.597s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,17-10-2024 16:45:05,17-10-2024 16:45:23,17.574s,PASSED
delay(1),Chrome 129.0.0.0,,,17-10-2024 16:45:23,17-10-2024 16:45:24,1.089s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,17-10-2024 16:45:24,17-10-2024 16:45:24,0.447s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,17-10-2024 16:45:24,17-10-2024 16:45:27,2.561s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,17-10-2024 16:45:27,17-10-2024 16:45:35,8.161s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,17-10-2024 16:45:35,17-10-2024 16:46:07,32.103s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,17-10-2024 16:46:07,17-10-2024 16:46:15,7.403s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,17-10-2024 16:46:15,17-10-2024 16:46:15,0.416s,PASSED
