Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,16-10-2024 16:15:47,16-10-2024 16:17:14,1m - 27.255s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,16-10-2024 16:15:47,16-10-2024 16:17:14,1m - 26.947s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,16-10-2024 16:15:48,16-10-2024 16:16:19,31.259s,PASSED
delay(1),Chrome 129.0.0.0,,,16-10-2024 16:16:19,16-10-2024 16:16:20,1.073s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,16-10-2024 16:16:20,16-10-2024 16:16:21,0.394s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,16-10-2024 16:16:21,16-10-2024 16:16:23,2.815s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,16-10-2024 16:16:23,16-10-2024 16:16:34,10.844s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,16-10-2024 16:16:34,16-10-2024 16:17:06,31.976s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,16-10-2024 16:17:06,16-10-2024 16:17:14,7.683s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,16-10-2024 16:17:14,16-10-2024 16:17:14,0.370s,PASSED
