Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,17-10-2024 16:34:27,17-10-2024 16:35:33,1m - 5.644s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,17-10-2024 16:34:27,17-10-2024 16:35:33,1m - 5.211s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,17-10-2024 16:34:28,17-10-2024 16:34:43,14.723s,PASSED
delay(1),Chrome 129.0.0.0,,,17-10-2024 16:34:43,17-10-2024 16:34:44,1.078s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,17-10-2024 16:34:44,17-10-2024 16:34:44,0.408s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,17-10-2024 16:34:45,17-10-2024 16:34:47,2.307s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,17-10-2024 16:34:47,17-10-2024 16:34:54,7.432s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,17-10-2024 16:34:54,17-10-2024 16:35:26,32.090s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,17-10-2024 16:35:26,17-10-2024 16:35:32,5.962s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,17-10-2024 16:35:32,17-10-2024 16:35:33,0.373s,PASSED
