Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,16-10-2024 20:50:03,16-10-2024 20:51:13,1m - 10.035s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,16-10-2024 20:50:03,16-10-2024 20:51:13,1m - 9.754s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,16-10-2024 20:50:04,16-10-2024 20:50:19,15.316s,PASSED
delay(1),Chrome 129.0.0.0,,,16-10-2024 20:50:19,16-10-2024 20:50:20,1.078s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,16-10-2024 20:50:20,16-10-2024 20:50:21,0.372s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,16-10-2024 20:50:21,16-10-2024 20:50:24,3.287s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,16-10-2024 20:50:24,16-10-2024 20:50:33,9.455s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,16-10-2024 20:50:33,16-10-2024 20:51:06,32.561s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,16-10-2024 20:51:06,16-10-2024 20:51:13,6.665s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,16-10-2024 20:51:13,16-10-2024 20:51:13,0.412s,PASSED
