Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,15-10-2024 00:20:55,15-10-2024 00:21:59,1m - 4.125s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,15-10-2024 00:20:55,15-10-2024 00:21:59,1m - 3.851s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,15-10-2024 00:20:56,15-10-2024 00:21:11,15.308s,PASSED
delay(1),Chrome 129.0.0.0,,,15-10-2024 00:21:11,15-10-2024 00:21:12,1.097s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,15-10-2024 00:21:12,15-10-2024 00:21:13,0.384s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,15-10-2024 00:21:13,15-10-2024 00:21:15,1.954s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,15-10-2024 00:21:15,15-10-2024 00:21:22,7.174s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,15-10-2024 00:21:22,15-10-2024 00:21:53,31.287s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,15-10-2024 00:21:53,15-10-2024 00:21:59,5.732s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,15-10-2024 00:21:59,15-10-2024 00:21:59,0.297s,PASSED
