Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,16-10-2024 17:12:33,16-10-2024 17:13:47,1m - 14.695s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,16-10-2024 17:12:33,16-10-2024 17:13:47,1m - 14.462s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,16-10-2024 17:12:33,16-10-2024 17:12:53,20.008s,PASSED
delay(1),Chrome 129.0.0.0,,,16-10-2024 17:12:53,16-10-2024 17:12:54,1.073s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,16-10-2024 17:12:54,16-10-2024 17:12:55,0.372s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,16-10-2024 17:12:55,16-10-2024 17:12:59,3.746s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,16-10-2024 17:12:59,16-10-2024 17:13:08,9.735s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,16-10-2024 17:13:08,16-10-2024 17:13:40,31.819s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,16-10-2024 17:13:40,16-10-2024 17:13:47,6.792s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,16-10-2024 17:13:47,16-10-2024 17:13:47,0.424s,PASSED
