Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,17-10-2024 17:05:11,17-10-2024 17:06:15,1m - 3.459s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,17-10-2024 17:05:12,17-10-2024 17:06:15,1m - 3.223s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,17-10-2024 17:05:12,17-10-2024 17:05:26,14.340s,PASSED
delay(1),Chrome 129.0.0.0,,,17-10-2024 17:05:26,17-10-2024 17:05:28,1.078s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,17-10-2024 17:05:28,17-10-2024 17:05:28,0.278s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,17-10-2024 17:05:28,17-10-2024 17:05:30,2.093s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,17-10-2024 17:05:30,17-10-2024 17:05:37,7.413s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,17-10-2024 17:05:37,17-10-2024 17:06:09,31.540s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,17-10-2024 17:06:09,17-10-2024 17:06:15,5.648s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,17-10-2024 17:06:15,17-10-2024 17:06:15,0.338s,PASSED
