Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,15-10-2024 00:10:21,15-10-2024 00:11:26,1m - 4.312s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,15-10-2024 00:10:22,15-10-2024 00:11:26,1m - 4.004s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,15-10-2024 00:10:22,15-10-2024 00:10:38,15.696s,PASSED
delay(1),Chrome 129.0.0.0,,,15-10-2024 00:10:38,15-10-2024 00:10:39,1.107s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,15-10-2024 00:10:39,15-10-2024 00:10:39,0.348s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,15-10-2024 00:10:39,15-10-2024 00:10:42,2.461s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,15-10-2024 00:10:42,15-10-2024 00:10:49,7.039s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,15-10-2024 00:10:49,15-10-2024 00:11:20,30.815s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,15-10-2024 00:11:20,15-10-2024 00:11:25,5.682s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,15-10-2024 00:11:25,15-10-2024 00:11:26,0.268s,PASSED
