Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,17-10-2024 16:04:18,17-10-2024 16:05:23,1m - 5.552s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,17-10-2024 16:04:18,17-10-2024 16:05:23,1m - 4.902s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,17-10-2024 16:04:19,17-10-2024 16:04:35,15.245s,PASSED
delay(1),Chrome 129.0.0.0,,,17-10-2024 16:04:35,17-10-2024 16:04:36,1.109s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,17-10-2024 16:04:36,17-10-2024 16:04:36,0.336s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,17-10-2024 16:04:36,17-10-2024 16:04:38,2.453s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,17-10-2024 16:04:38,17-10-2024 16:04:46,7.594s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,17-10-2024 16:04:46,17-10-2024 16:05:17,31.411s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,17-10-2024 16:05:17,17-10-2024 16:05:23,5.554s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,17-10-2024 16:05:23,17-10-2024 16:05:23,0.352s,PASSED
