Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,15-10-2024 15:43:54,15-10-2024 15:45:05,1m - 11.221s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,15-10-2024 15:43:54,15-10-2024 15:45:05,1m - 10.900s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,15-10-2024 15:43:55,15-10-2024 15:44:12,17.529s,PASSED
delay(1),Chrome 129.0.0.0,,,15-10-2024 15:44:12,15-10-2024 15:44:13,1.077s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,15-10-2024 15:44:13,15-10-2024 15:44:14,0.386s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,15-10-2024 15:44:14,15-10-2024 15:44:16,2.570s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,15-10-2024 15:44:16,15-10-2024 15:44:25,9.188s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,15-10-2024 15:44:25,15-10-2024 15:44:57,31.334s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,15-10-2024 15:44:57,15-10-2024 15:45:05,7.753s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,15-10-2024 15:45:05,15-10-2024 15:45:05,0.430s,PASSED
