Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,15-10-2024 15:36:13,15-10-2024 15:37:22,1m - 8.989s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,15-10-2024 15:36:13,15-10-2024 15:37:22,1m - 8.707s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,15-10-2024 15:36:13,15-10-2024 15:36:30,16.334s,PASSED
delay(1),Chrome 129.0.0.0,,,15-10-2024 15:36:30,15-10-2024 15:36:31,1.083s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,15-10-2024 15:36:31,15-10-2024 15:36:31,0.407s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,15-10-2024 15:36:31,15-10-2024 15:36:34,2.658s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,15-10-2024 15:36:34,15-10-2024 15:36:43,9.614s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,15-10-2024 15:36:43,15-10-2024 15:37:15,31.245s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,15-10-2024 15:37:15,15-10-2024 15:37:21,6.386s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,15-10-2024 15:37:21,15-10-2024 15:37:22,0.428s,PASSED
